3535 MOUNT READ BLVD, ROCHESTER, NY, 14616
68-19 FRESH POND ROAD, RIDGEWOOD, NY, 11385
6036 MYRTLE AVE, RIDGEWOOD, NY, 11385
312 RALPH AVE, BROOKLYN, NY, 11233
1532 86TH ST #34, BROOKLYN, NY, 11228
892-908 Flatbush Avenue, Brooklyn, NY, 11226
42 THOMAS S BOYLAND ST, BROOKLYN, NY, 11233
1950 Fulton Street, Brooklyn, NY, 11233
74-05 METROPOLITAN AVE, Middle Village, NY, 11379
306 CLARKSON AVE, BROOKLYN, NY, 11226
63-37 108TH STREET, FOREST HILLS, NY, 11375
1517 CORTELYOU RD, BROOKLYN, NY, 11226
65-62 MYRTLE AVE, GLENDALE, NY, 11385
19 23 UTOPIA PARKWAY, WHITESTONE, NY, 11357
1526 CORTELYOU RD, BROOKLYN, NY, 11226
2819 Church Avenue, Brooklyn, NY, 11226
376 UTICA AVE, BROOKLYN, NY, 11213
6101 18TH AVE, BROOKLYN, NY, 11204
492 CLARKSON AVE, BROOKLYN, NY, 11203
6628 18TH AVE, BROOKLYN, NY, 11204
3000 CHURCH AVE, BROOKLYN, NY, 11226
4415 KISSENA BLVD, FLUSHING, NY, 11355
1101 FLATBUSH AVE, Brooklyn, NY, 11226
8222 18th Avenue, Brooklyn, NY, 11214
506-528 UTICA AVENUE, BROOKLYN, NY, 11203
1419 NEWKIRK AVENUE, BROOKLYN, NY, 11226
1501 Newkirk Ave, Brooklyn, NY, 11226
1081 RUTLAND RD, BROOKLYN, NY, 11212
3904 CHURCH AVE, BROOKLYN, NY, 11203
4102 Church Avenue, Brooklyn, NY, 11203
10425 QUEENS BLVD, FOREST HILLS, NY, 11375
76-17 MYRTLE AVE, FLUSHING, NY, 11385
1631-43 Pitkin Avenue, Brooklyn, NY, 11212
164-16 NORTHERN BLVD, FLUSHING, NY, 11358
5901 Bay Parkway, Brooklyn, NY, 11204
14 SOUNDVIEW MARKET PL, PORT WASHINGTON, NY, 11050
1154 Clarkson Avenue, Brooklyn, NY, 11212
2428 BELL BLVD, BAYSIDE, NY, 11360
5001 CHURCH AVE, BROOKLYN, NY, 11203
1801 PITKIN AVE, BROOKLYN, NY, 11212
71-14 Austin Street, Forest Hills, NY, 11375
1409 AVENUE J, BROOKLYN, NY, 11230
2610 ATLANTIC AVE, BROOKLYN, NY, 11207
185 Kings Highway, Brooklyn, NY, 11223
4123 AVENUE D, BROOKLYN, NY, 11203
1559 FLATBUSH AVE, BROOKLYN, NY, 11210
110-88 QUEENS BOULEVARD, FOREST HILLS, NY, 11375
665 MIDDLE NECK RD, GREAT NECK, NY, 11023
193-01 NORTHERN BOULEVARD, AUBURNDALE, NY, 11358
2532 86TH ST #54, BROOKLYN, NY, 11214
71-18 Kissena Boulevard, Flushing, NY, 11367
8432 JAMAICA AVE, WOODHAVEN, NY, 11421
3920 BELL BOULEVARD, BAYSIDE, NY, 11361
86-22 jamaica ave, woodhaven, NY, 11421
2577 Nostrand Avenue, Brooklyn, NY, 11210
170 AVENUE U, BROOKLYN, NY, 11223
89-10 Jamaica Avenue, Woodhaven, NY, 11421
946 KINGS HWY, BROOKLYN, NY, 11223
7321 KISSENA BLVD, FLUSHING, NY, 11367
43-20 Bell Blvd., Bayside, NY, 11361
1720 KINGS HIGHWAY, BROOKLYN, NY, 11229
8144 LEFFERTS BLVD, KEW GARDENS, NY, 11415
1791 Utica Avenue, Brooklyn, NY, 11234
3001-27 Mermaid Avenue, Brooklyn, NY, 11224
1242 LIBERTY AVE, BROOKLYN, NY, 11208
2314 CONEY ISLAND AVE, BROOKLYN, NY, 11223
149-01 UNION TURNPIKE, FLUSHING, NY, 11367
4915 FLATLANDS AVE, BROOKLYN, NY, 11234
8722 GLENWOOD ROAD, BROOKLYN, NY, 11236
961 Port  Washington Blvd., Port Washington, NY, 11050
7812 Flatlands Avenue, Brooklyn, NY, 11236
84-01 101ST AVE, Ozone Park, NY, 11416
158-02 Union Turnpike, Flushing, NY, 11366
344 Avenue X, Brooklyn, NY, 11223
1224 AVENUE U, BROOKLYN, NY, 11229
2472 CONEY ISLAND AVE, BROOKLYN, NY, 11223
102-30  Atlantic Avenue, Ozone Park, NY, 11416
1111 PENNSYLVANIA AVENUE, BROOKLYN, NY, 11207
50 Great Neck Road, Great Neck, NY, 11021
2590 CONEY ISLAND AVE, BROOKLYN, NY, 11223
475 PORT WASHINGTON BLVD, PORT WASHINGTON, NY, 11050
2002 Avenue  U, Brooklyn, NY, 11229
69-62 188TH STREET, FRESH MEADOWS, NY, 11365
13250 METROPOLITAN AVE, RICHMOND HILL, NY, 11418
93 FOREST AVE, GLEN COVE, NY, 11542
2265 RALPH AVE, BROOKLYN, NY, 11234
93-20 LIBERTY AVE, OZONE PARK, NY, 11417
7814 LINDEN BLVD, HOWARD BEACH, NY, 11414
109-07 101st Avenue, Jamaica, NY, 11419
2325 FLATBUSH AVE, BROOKLYN, NY, 11234
9612 LIBERTY AVE, OZONE PARK, NY, 11417
96-02 ROCKAWAY BLVD, OZONE PARK, NY, 11417
225 Forest Avenue, Glen Cove, NY, 11542
1201 AVENUE Z, BROOKLYN, NY, 11235
18616 UNION TPKE, FLUSHING, NY, 11366
1847 ROCKAWAY PKWY, BROOKLYN, NY, 11236
392-410 PLANDOME ROAD, MANHASSET, NY, 11030
61 29 SPRINGFIELD BOULEVARD, OAKLAND GARDENS, NY, 11364
3082 AVENUE U, BROOKLYN, NY, 11229
105 BRIGHTON BEACH AVE, BROOKLYN, NY, 11235
90 01 SUTPHIN BOULEVARD, JAMAICA, NY, 11435
162-19 HILLSIDE AVENUE, JAMAICA, NY, 11432
2064 Mill Avenue, Brooklyn, NY, 11234
800 NORTHERN BLVD STE 4, GREAT NECK, NY, 11021
2981 Ocean Avenue, Brooklyn, NY, 11235
5716 AVENUE U, BROOKLYN, NY, 11234
9738 Sea View Avenue, Brooklyn, NY, 11236
11910 LIBERTY AVE, SOUTH RICHMOND HILL, NY, 11419
6602 AVENUE U, BROOKLYN, NY, 11234
713 BRIGHTON BEACH AVE, BROOKLYN, NY, 11235
122-02 Liberty Avenue, South Richmond Hill, NY, 11419
3211 CONEY ISLAND AVE, BROOKLYN, NY, 11235
15934 JAMAICA AVE, JAMAICA, NY, 11432
2116 ROCKAWAY PKWY, BROOKLYN, NY, 11236
3823 Nostrand Avenue, Brooklyn, NY, 11235
24946 HORACE HARDING EXPY, DOUGLASTON, NY, 11362
5923 STRICKLAND AVENUE, BROOKLYN, NY, 11234
17506 HILLSIDE AVE, JAMAICA, NY, 11432
118-04 ROCKAWAY BLVD, SOUTH OZONE PARK, NY, 11420
11902 ROCKAWAY BLVD, SOUTH OZONE PARK, NY, 11420
107-45 GUY R BREWER BLVD, JAMAICA, NY, 11433
16040 CROSS BAY BOULEVARD, HOWARD BEACH, NY, 11414
248-15 UNION TURNPIKE, BELLEROSE, NY, 11426
25501 UNION TPKE, GLEN OAKS, NY, 11004
115-10 Merrick Boulevard, Jamaica, NY, 11434
10962 FRANCIS LEWIS BLVD, QUEENS VILLAGE, NY, 11429
218-35 Hempstead Avenue, Queens Village, NY, 11429
12704 GUY R BREWER BLVD, JAMAICA, NY, 11434
165-02 Baisley Boulevard, Jamaica, NY, 11434
8345 LANGDALE ST, NEW HYDE PARK, NY, 11040
205-43 LINDEN BLVD, ST ALBANS, NY, 11412
2 Whitney Avenue, Floral Park, NY, 11001
1140 Willis Avenue, Albertson, NY, 11507
222-14 Linden Boulevard, Cambria Heights, NY, 11411
21914 MERRICK BLVD, SPRINGFIELD GARDENS, NY, 11413
444 Hillside Avenue, Williston Park, NY, 11596
273 Pine Hollow Road, Oyster Bay, NY, 11771
2282 JERICHO TPKE, GARDEN CITY PARK, NY, 11040
2095 DUTCH BROADWAY, ELMONT, NY, 11003
449 BEACH 129TH STREET, Rockaway Park, NY, 11694
14-15 HEMPSTEAD TURNPIKE, ELMONT, NY, 11003
11602 BEACH CHANNEL DR, FAR ROCKAWAY, NY, 11694
12 E JERICHO TPKE, MINEOLA, NY, 11501
245-14 Francis Lewis Blvd, Rosedale, NY, 11422
178 New Hyde Park Road, Franklin Square, NY, 11010
10640 ROCKAWAY BEACH BOULEVARD, ROCKAWAY PARK, NY, 11694
77 Green Acres Rd, Valley Stream, NY, 11581
1300 FRANKLIN AVE, GARDEN CITY, NY, 11530
730 FRANKLIN AVE, FRANKLIN SQUARE, NY, 11010
652 HEMPSTEAD TPKE, FRANKLIN SQUARE, NY, 11010
290 W MERRICK RD, VALLEY STREAM, NY, 11580
498 Hempstead Turnpike, West Hempstead, NY, 11552
198 West Merrick Road, Valley Stream, NY, 11580
42 ROCKAWAY AVE, VALLEY STREAM, NY, 11580
605 ROCKAWAY TPKE, LAWRENCE, NY, 11559
300 HEMPSTEAD TPKE-UNIT 5, WEST HEMPSTEAD, NY, 11552
210 Post Avenue, Westbury, NY, 11590
1220 Old Country Rd, Westbury, NY, 11590
1250 OLD COUNTRY RD, WESTBURY, NY, 11590
15 OLD COUNTRY RD, WESTBURY, NY, 11590
821 PROSPECT AV, WESTBURY, NY, 11590
340 JERICHO TURNPIKE, SYOSSET, NY, 11791
175 JERICHO TPKE LBBY STE, SYOSSET, NY, 11791
1338 BROADWAY #1340, HEWLETT, NY, 11557
389-391 PENINSULA BLVD #E, HEMPSTEAD, NY, 11550
393 FRONT ST, HEMPSTEAD, NY, 11550
210 SOUTH FRANKLIN STREET, HEMPSTEAD, NY, 11550
391 West Main Street, Huntington, NY, 11743
347 MAIN ST, HUNTINGTON, NY, 11743
400 Sunrise Highway, Lynbrook, NY, 11563
53 NORTH BROADWAY, HICKSVILLE, NY, 11801
168 North Village Avenue, Rockville Centre, NY, 11570
70 North Village Ave, Rockville Centre, NY, 11570
406 S OYSTER BAY RD, HICKSVILLE, NY, 11801
603 UNIONDALE AVE, UNIONDALE, NY, 11553
210 S BROADWAY, HICKSVILLE, NY, 11801
1910 Hempstead Turnpike, East Meadow, NY, 11554
984 NEW YORK AVE, HUNTINGTON STATION, NY, 11746
2201 HEMPSTEAD TPKE, EAST MEADOW, NY, 11554
2745 LONG BEACH RD, OCEANSIDE, NY, 11572
2465 Hempstead Tpke, East Meadow, NY, 11554
1123 Jerusalem Ave, Uniondale, NY, 11553
2474 HEMPSTEAD TPKE, EAST MEADOW, NY, 11554
348 NASSAU RD, ROOSEVELT, NY, 11575
142A MANETTO HILL ROAD, PLAINVIEW, NY, 11803
1968 GRAND AVE, BALDWIN, NY, 11510
3199 Long Beach Road, Oceanside, NY, 11572
283 West Jericho Turnpike, Huntington Station, NY, 11746
3705 HAMPTON RD, OCEANSIDE, NY, 11572
703 NEWBRIDGE RD, NORTH BELLMORE, NY, 11710
3131 Hempstead Turnpike, Levittown, NY, 11756
395 Fort Salonga Road, Northport, NY, 11768
820 FORT SALONGA RD, NORTHPORT, NY, 11768
3335 Hempstead Tpke, Levittown, NY, 11756
325 ROUTE 110, HUNTINGTON STATION, NY, 11746
2260 Jerusalem Avenue, North Bellmore, NY, 11710
23 East Park Avenue, Long Beach, NY, 11561
695 East Jericho Turnpike, Huntington Station, NY, 11746
606 LONG BEACH BLVD, LONG BEACH, NY, 11561
89 HENRY ST, FREEPORT, NY, 11520
3974 Hempstead Turnpike, Bethpage, NY, 11714
29 ATLANTIC AVE, Freeport, NY, 11520
629 E PARK AVE, LONG BEACH, NY, 11561
4120 HEMPSTEAD TPKE, BETHPAGE, NY, 11714
2784 Sunrise Highway, Bellmore, NY, 11710
625 BROADHOLLOW RD, MELVILLE, NY, 11747
577 Larkfield Road, East Northport, NY, 11731
2640 MERRICK RD, Bellmore, NY, 11710
5001 JERICHO TPKE, COMMACK, NY, 11725
6216 JERICHO TPKE, COMMACK, NY, 11725
918 MAIN ST, SOUTH FARMINGDALE, NY, 11735
965 Broadhollow Rd, Farmingdale, NY, 11735
18 Indian Head Road, Kings Park, NY, 11754
4360 SUNRISE HWY, MASSAPEQUA, NY, 11758
1111 RTE 110, E FARMINGDALE, NY, 11735
126-128 Jericho Turnpike, Commack, NY, 11725
5125 Merrick Road, Massapequa Park, NY, 11762
85 Crooked Hill Rd, Commack, NY, 11725
10 GARET PL, COMMACK, NY, 11725
275 BROADWAY, AMITYVILLE, NY, 11701
1770 DEER PARK AVE, DEER PARK, NY, 11729
380 OSER AVE, HAUPPAUGE, NY, 11788
600 North Wellwood Avenue, Lindenhurst, NY, 11757
1200 Deer Park Avenue, North Babylon, NY, 11703
901 Merrick Road, Copiague, NY, 11726
729 SUNRISE HIGHWAY, WEST BABYLON, NY, 11704
10 W MAIN ST, SMITHTOWN, NY, 11787
226 ROUTE 25A, EAST SETAUKET, NY, 11733
65 Route 111, Smithtown, NY, 11787
26 WICKS RD, BRENTWOOD, NY, 11717
5 CANDLEWOOD RD, BAYSHORE, NY, 11706
1825 Brentwood Road, Brentwood, NY, 11717
712 SMITHTOWN BYP, SMITHTOWN, NY, 11787
66 DEER SHORE SQUARE, NORTH BABYLON, NY, 11703
731 B MIDDLE COUNTRY RD, SAINT JAMES, NY, 11780
532A Union Blvd., West Islip, NY, 11795
836 Sunrise Highway, Bay Shore, NY, 11706
1320 STONY BROOK RD, STONY BROOK, NY, 11790
3000 MIDDLE COUNTRY RD, NESCONSET, NY, 11767
1850 Veterans Hwy, Islandia, NY, 11749
1860 VETERANS HWY, ISLANDIA, NY, 11749
3990 Nesconset Hwy, East Setauket, NY, 11733
5507 Nesconset Hwy Ste 100, Mount Sinai, NY, 11766
2215 MIDDLE COUNTRY RD, CENTEREACH, NY, 11720
161 Centereach Mall, Centereach, NY, 11720
593 Old Town Rd., Port Jeff Station, NY, 11776
437 Main St, Islip, NY, 11751
139 Ronkonkoma Avenue, Lake Ronkonkoma, NY, 11779
335 Route 25A, Miller Place, NY, 11764
302 ROUTE 25A, MILLER PLACE, NY, 11764
229 Independence Plaza, Selden, NY, 11784
655 MIDDLE COUNTRY RD, SELDEN, NY, 11784
346 ROUTE 25A, ROCKY POINT, NY, 11778
4500 SUNRISE HIGHWAY, OAKDALE, NY, 11769
125 BEACON DR, HOLBROOK, NY, 11741
750 Middle Country Rd, Middle Island, NY, 11953
2850 ROUTE 112, MEDFORD, NY, 11763
101 Main Street, Sayville, NY, 11782
2799 Route 112, Medford, NY, 11763
864 Middle Country Road, Middle Island, NY, 11953
102 N MAIN ST, SAYVILLE, NY, 11782
2950 Horse Block Rd., Medford, NY, 11763
397 Sunrise Highway, West Patchogue, NY, 11772
1580 ROUTE 112, MEDFORD, NY, 11763
747 MONTAUK HIGHWAY, EAST PATCHOGUE, NY, 11772
286 W MAIN ST, PATCHOGUE, NY, 11772
1815 WADING RIVER MANOR RD, WADING RIVER, NY, 11792
655 EAST MAIN ST., EAST PATCHOGUE, NY, 11772
700-43 Patchogue-Yaphank Road, Medford, NY, 11763
803 Montauk Hwy Unit D, Shirley, NY, 11967
863 MONTAUK HWY, SHIRLEY, NY, 11967
403 WILLIAM FLOYD PARKWAY, SHIRLEY, NY, 11967
1890 Old Country Rd, Riverhead, NY, 11901
1768 OLD COUNTRY RD, RIVERHEAD, NY, 11901
1196 OLD COUNTRY RD, RIVERHEAD, NY, 11901
23 Eastport Manor Road, Eastport, NY, 11941
10095 ROUTE 25, MATTITUCK, NY, 11952
53895 MAIN STREET, SOUTHOLD, NY, 11971
161 MAIN ST, WESTHAMPTON BEACH, NY, 11978
100 FRONT STREET, GREENPORT, NY, 11944
19 GRAND AVE-PO BOX 1163, SHELTER ISLAND, NY, 11965
50 East Montauk Highway, Hampton Bays, NY, 11946
82 Nugent Street, Southampton, NY, 11968
2102 MONTAUK HWY, BRIDGEHAMPTON, NY, 11932
